Port,TCP,UDP,SCTP,DCCP,
6200,Unofficial,,,,
6201,Assigned,Assigned,,,
6201,Unofficial,,,,
6225,Unofficial,,,,
6227,Unofficial,,,,
6240,Unofficial,,,,
6244,Unofficial,Unofficial,,,
6255,Unofficial,Unofficial,,,
6257,,Unofficial,,,
6260,Unofficial,Unofficial,,,
6262,Unofficial,,,,
6343,,Yes,,,
6346,Yes,Yes,,,
6347,Yes,Yes,,,
6350,Yes,Yes,,,
6379,Yes,,,,
6389,Unofficial,,,,
6432,Yes,,,,
6436,Unofficial,,,,
6437,Unofficial,,,,
6443,Yes,,,,
6444,Yes,Yes,,,
6445,Yes,Yes,,,
6454,,Unofficial,,,
6463-6472,Unofficial,,,,
6464,Yes,Yes,,,
6513,Yes,,,,
6514,Yes,,,,
6515,Yes,Yes,,,
6516,Unofficial,Unofficial,,,
6543,Unofficial,,,,
6556,Unofficial,,,,
6566,Yes,,,,
6560-6561,Unofficial,,,,
6571,Unofficial,Unofficial,,,
6600,Yes,,,,
6600,Unofficial,,,,
6601,Yes,,,,
6602,Yes,,,,
6619,Yes,Yes,,,
6622,Yes,Yes,,,
6626,Yes,Yes,,,
6653,Yes,Assigned,,,
6660-6664,Unofficial,,,,
6665-6669,Yes,,,,
6679,Yes,Yes,,,
6679,Unofficial,,,,
6690,Unofficial,,,,
6697,Yes,,,,
6699,Unofficial,,,,
6715,Unofficial,,,,
6771,,Unofficial,,,
6783-6785,Unofficial,,,,
6801,Yes,Yes,,,
6881-6887,Unofficial,Unofficial,,,
6888,Yes,Yes,,,
6888,Unofficial,Unofficial,,,
6889-6890,Unofficial,Unofficial,,,
6891-6900,Unofficial,Unofficial,,,
6891-6900,Unofficial,Unofficial,,,
6901,Unofficial,Unofficial,,,
6901,Unofficial,Unofficial,,,
6902-6968,Unofficial,Unofficial,,,
6924,Yes,Yes,,,
6935,Yes,Yes,,,
6936,Yes,Yes,,,
6969,Yes,Yes,,,
6969,Unofficial,,,,
6970-6999,Unofficial,Unofficial,,,
6970-6999,,Unofficial,,,
6980,,Unofficial,,,
7000,Unofficial,,,,
7000,Unofficial,,,,
7001,Unofficial,,,,
7001,Unofficial,,,,
7002,Unofficial,,,,
7005,Unofficial,,,,
7006,Unofficial,,,,
7010,Unofficial,,,,
7022,Unofficial,,,,
7023,,Yes,,,
7025,Unofficial,,,,
7047,Unofficial,,,,
7070,Unofficial,Unofficial,,,
7077,Yes,Yes,,,
7133,Unofficial,,,,
7144,Unofficial,,,,
7145,Unofficial,,,,
7171,Unofficial,,,,
7262,Yes,Yes,,,
7272,Yes,Yes,,,
7306,Unofficial,,,,
7307,Unofficial,,,,
7312,,Unofficial,,,
7396,Unofficial,,,,
7400,Yes,Yes,,,
7401,Yes,Yes,,,
7402,Yes,Yes,,,
7471,Unofficial,,,,
7473,Yes,,,,
7474,Yes,,,,
7478,Yes,,,,
7542,Yes,Yes,,,
7547,Yes,Yes,,,
7575,,Unofficial,,,
7624,Yes,Yes,,,
7631,Yes,,,,
7634,Unofficial,,,,
7652-7654,Unofficial,,,,
7655,,Unofficial,,,
7656-7660,Unofficial,,,,
7659,Unofficial,Unofficial,,,
7670,Unofficial,,,,
7680,Unofficial,,,,
7687,Yes,,,,
7707-7708,,Unofficial,,,
7717,,Unofficial,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,Unofficial,,,,
7777,,Unofficial,,,
7777,,Unofficial,,,
7777-7788,,Yes,,,
7777-7788,Unofficial,Unofficial,,,
7831,Unofficial,,,,
7880,Unofficial,Unofficial,,,
7890,Unofficial,,,,
7915,Unofficial,,,,
7935,Unofficial,,,,
7946,Unofficial,Unofficial,,,
7979,,Unofficial,,,
7990,Unofficial,,,,
8000,Unofficial,,,,
8000,Unofficial,Unofficial,,,
8000,Unofficial,Unofficial,,,
8000,Unofficial,Unofficial,,,
8005,Unofficial,,,,
8005,Unofficial,,,,
8005,Unofficial,,,,
8006,Unofficial,,,,
8006,Unofficial,No,,,
8007,Unofficial,,,,
8007,Yes,,,,
8008,Unofficial,Unofficial,,,
8008,Unofficial,,,,
8008,Unofficial,,,,
8008,Unofficial,No,,,
